SYMBOL,HIGH,LOW,CURRENT
DEF HASCOL,8.12,7.22,7.9
KOSM,12.47,11.41,11.84
SYM,9.5,8.7,9.34
NBPXD,63,57.89,60.65
POWER,6.13,5.75,5.95
AGHA,15.2,14.7,15.2
DFML,54.59,50.61,52.84
PIAHCLA,19.28,18.1,18.96
WTL,1.23,1.2,1.21
AMTEXDEF,3.95,3.13,3.51
CNERGY,4.01,3.85,3.86
FFL,9.4,8.85,8.91
FFBL,46.3,44.94,46.17
FNEL,3.98,3.64,3.72
OCTOPUS,121.35,110.5,114.21
PREMA,18.64,17.2,17.59
AGL,33.39,31.15,32.74
SILK,0.98,0.9,0.91
TPLP,8.95,8.45,8.6
HIRAT DEF,4.24,3.33,3.69
DEF HASCOL,8.12,7.22,7.9
KOSM,12.47,11.41,11.84
SYM,9.5,8.7,9.34
NBPXD,63,57.89,60.65
POWER,6.13,5.75,5.95
AGHA,15.2,14.7,15.2
DFML,54.59,50.61,52.84
PIAHCLA,19.28,18.1,18.96
WTL,1.23,1.2,1.21
AMTEXDEF,3.95,3.13,3.51
CNERGY,4.01,3.85,3.86
FFL,9.4,8.85,8.91
FFBL,46.3,44.94,46.17
FNEL,3.98,3.64,3.72
OCTOPUS,121.35,110.5,114.21
PREMA,18.64,17.2,17.59
AGL,33.39,31.15,32.74
SILK,0.98,0.9,0.91
TPLP,8.95,8.45,8.6
HIRAT DEF,4.24,3.33,3.69
DEF HASCOL,8.12,7.22,7.9
KOSM,12.47,11.41,11.84
SYM,9.5,8.7,9.34
NBPXD,63,57.89,60.65
POWER,6.13,5.75,5.95
AGHA,15.2,14.7,15.2
DFML,54.59,50.61,52.84
PIAHCLA,19.28,18.1,18.96
WTL,1.23,1.2,1.21
AMTEXDEF,3.95,3.13,3.51
CNERGY,4.01,3.85,3.86
FFL,9.4,8.85,8.91
FFBL,46.3,44.94,46.17
FNEL,3.98,3.64,3.72
OCTOPUS,121.35,110.5,114.21
PREMA,18.64,17.2,17.59
AGL,33.39,31.15,32.74
SILK,0.98,0.9,0.91
TPLP,8.95,8.45,8.6
HIRAT DEF,4.24,3.33,3.69
DEF HASCOL,8.12,7.22,7.9
KOSM,12.47,11.41,11.84
SYM,9.5,8.7,9.34
NBPXD,63,57.89,60.65
POWER,6.13,5.75,5.95
AGHA,15.2,14.7,15.2
DFML,54.59,50.61,52.84
PIAHCLA,19.28,18.1,18.96
WTL,1.23,1.2,1.21
AMTEXDEF,3.95,3.13,3.51
CNERGY,4.01,3.85,3.86
FFL,9.4,8.85,8.91
FFBL,46.3,44.94,46.17
FNEL,3.98,3.64,3.72
OCTOPUS,121.35,110.5,114.21
PREMA,18.64,17.2,17.59
AGL,33.39,31.15,32.74
SILK,0.98,0.9,0.91
TPLP,8.95,8.45,8.6
HIRAT DEF,4.24,3.33,3.69
